Model,ME,MAE,RMSE,MAPE
AutoNBEATS,-850.6195664062506,7107.94716953125,9782.697450388694,5.1750903166276805
AutoETS,-857.8303171883314,7845.232618653121,10662.4388206044,5.672371720765184
AutoARIMA,-2206.756063070942,7418.543312566038,11411.10329587514,5.473034821388477
AutoNHITS,-1811.1655234375003,9425.748159375,12897.903356672095,6.778289133463127
TimeGPT,-1889.8068325000006,9669.4678425,13308.832951014097,7.120778986871523
LightGBM,-5034.945115171554,10399.36810454653,14645.473280999586,7.725298071097786
SeasonalNaive,1012.7528249999997,11298.365025,15861.602483273224,8.18431266282914
Naive,-2025.840950000001,12065.40855,15934.427679354505,8.689675979180478
